Temporada,Límite,Equipo
2016/2017,39,ALAVÉS
2017/2018,38,ALAVÉS
2018/2019,39,ALAVÉS
2019/2020,53,ALAVÉS
2020/2021,42,ALAVÉS
2014/2015,50,ATHLETIC CLUB
2015/2016,54,ATHLETIC CLUB
2016/2017,61,ATHLETIC CLUB
2017/2018,69,ATHLETIC CLUB
2018/2019,88,ATHLETIC CLUB
2019/2020,103,ATHLETIC CLUB
2020/2021,119,ATHLETIC CLUB
2014/2015,105,ATLÉTICO DE MADRID
2015/2016,160,ATLÉTICO DE MADRID
2016/2017,183,ATLÉTICO DE MADRID
2017/2018,238,ATLÉTICO DE MADRID
2018/2019,293,ATLÉTICO DE MADRID
2019/2020,349,ATLÉTICO DE MADRID
2020/2021,252,ATLÉTICO DE MADRID
2014/2015,19,CELTA DE VIGO
2015/2016,23,CELTA DE VIGO
2016/2017,39,CELTA DE VIGO
2017/2018,41,CELTA DE VIGO
2018/2019,51,CELTA DE VIGO
2019/2020,69,CELTA DE VIGO
2020/2021,62,CELTA DE VIGO
2020/2021,35,ELCHE
2014/2015,348,FC BARCELONA
2015/2016,422,FC BARCELONA
2016/2017,391,FC BARCELONA
2017/2018,508,FC BARCELONA
2018/2019,633,FC BARCELONA
2019/2020,671,FC BARCELONA
2020/2021,382,FC BARCELONA
2014/2015,19,GETAFE
2015/2016,21,GETAFE
2017/2018,29,GETAFE
2018/2019,39,GETAFE
2019/2020,64,GETAFE
2020/2021,52,GETAFE
2020/2021,53,GETAFE
2019/2020,38,GRANADA CF
2020/2021,57,GRANADA CF
2014/2015,23,GRANADA CF
2015/2016,25,GRANADA CF
2016/2017,32,GRANADA CF
2014/2015,17,LEVANTE UD
2015/2016,24,LEVANTE UD
2017/2018,32,LEVANTE UD
2018/2019,52,LEVANTE UD
2019/2020,55,LEVANTE UD
2020/2021,37,LEVANTE UD
2019/2020,33,MALLORCA
2016/2017,16,OSASUNA
2019/2020,40,OSASUNA
2020/2021,46,OSASUNA
2014/2015,32,RCD ESPANYOL
2015/2016,31,RCD ESPANYOL
2016/2017,47,RCD ESPANYOL
2017/2018,61,RCD ESPANYOL
2018/2019,57,RCD ESPANYOL
2019/2020,86,RCD ESPANYOL
2014/2015,14,REAL BETIS
2015/2016,39,REAL BETIS
2016/2017,45,REAL BETIS
2017/2018,65,REAL BETIS
2018/2019,97,REAL BETIS
2019/2020,102,REAL BETIS
2020/2021,71,REAL BETIS
2014/2015,328,REAL MADRID
2015/2016,431,REAL MADRID
2016/2017,419,REAL MADRID
2017/2018,500,REAL MADRID
2018/2019,566,REAL MADRID
2019/2020,641,REAL MADRID
2020/2021,469,REAL MADRID
2014/2015,39,REAL SOCIEDAD
2015/2016,57,REAL SOCIEDAD
2016/2017,57,REAL SOCIEDAD
2017/2018,65,REAL SOCIEDAD
2018/2019,81,REAL SOCIEDAD
2019/2020,85,REAL SOCIEDAD
2020/2021,100,REAL SOCIEDAD
2014/2015,79,SEVILLA FC
2015/2016,105,SEVILLA FC
2016/2017,124,SEVILLA FC
2017/2018,160,SEVILLA FC
2018/2019,163,SEVILLA FC
2019/2020,185,SEVILLA FC
2020/2021,185,SEVILLA FC
2014/2015,73,VALENCIA CF
2015/2016,123,VALENCIA CF
2016/2017,130,VALENCIA CF
2017/2018,113,VALENCIA CF
2018/2019,165,VALENCIA CF
2019/2020,177,VALENCIA CF
2020/2021,103,VALENCIA CF
2014/2015,44,VILLARREAL
2015/2016,62,VILLARREAL
2016/2017,77,VILLARREAL
2017/2018,88,VILLARREAL
2018/2019,109,VILLARREAL
2019/2020,113,VILLARREAL
2020/2021,145,VILLARREAL
2021/2022,42,ALAVÉS
2021/2022,112,ATHLETIC CLUB
2021/2022,172,ATLÉTICO DE MADRID
2021/2022,66,CELTA DE VIGO
2021/2022,42,ELCHE
2021/2022,98,FC BARCELONA
2021/2022,65,GETAFE
2021/2022,54,GRANADA CF
2021/2022,32,LEVANTE UD
2021/2022,46,MALLORCA
2021/2022,56,OSASUNA
2021/2022,78,RCD ESPANYOL
2021/2022,71,REAL BETIS
2021/2022,740,REAL MADRID
2021/2022,128,REAL SOCIEDAD
2021/2022,200,SEVILLA FC
2021/2022,31,VALENCIA CF
2021/2022,159,VILLARREAL
